Departure Stop,Destination Stop,Departure Date Time,Arrival Date Time,Duration,Price,Departure Hour,Departure Day of the Week,Departure Month,Day in the Month,Departure Date,Arrival Date
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-08 00:55:00,2023-04-08 04:45:00,0 days 03:50:00,32.0,0,Saturday,April,8,2023-04-08,2023-04-08
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-08 03:05:00,2023-04-08 06:20:00,0 days 03:15:00,30.0,3,Saturday,April,8,2023-04-08,2023-04-08
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-08 04:05:00,2023-04-08 07:20:00,0 days 03:15:00,8.4,4,Saturday,April,8,2023-04-08,2023-04-08
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-08 04:15:00,2023-04-08 06:50:00,0 days 02:35:00,8.4,4,Saturday,April,8,2023-04-08,2023-04-08
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-08 05:15:00,2023-04-08 07:50:00,0 days 02:35:00,5.9,5,Saturday,April,8,2023-04-08,2023-04-08
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-08 06:00:00,2023-04-08 08:40:00,0 days 02:40:00,5.9,6,Saturday,April,8,2023-04-08,2023-04-08
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-08 06:20:00,2023-04-08 09:50:00,0 days 03:30:00,8.4,6,Saturday,April,8,2023-04-08,2023-04-08
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-08 06:30:00,2023-04-08 09:10:00,0 days 02:40:00,5.9,6,Saturday,April,8,2023-04-08,2023-04-08
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-08 07:00:00,2023-04-08 09:40:00,0 days 02:40:00,5.9,7,Saturday,April,8,2023-04-08,2023-04-08
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-08 07:30:00,2023-04-08 10:15:00,0 days 02:45:00,6.9,7,Saturday,April,8,2023-04-08,2023-04-08
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-08 08:00:00,2023-04-08 10:45:00,0 days 02:45:00,6.9,8,Saturday,April,8,2023-04-08,2023-04-08
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-08 08:30:00,2023-04-08 11:15:00,0 days 02:45:00,10.3,8,Saturday,April,8,2023-04-08,2023-04-08
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-08 08:50:00,2023-04-08 11:50:00,0 days 03:00:00,8.4,8,Saturday,April,8,2023-04-08,2023-04-08
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-08 09:30:00,2023-04-08 12:20:00,0 days 02:50:00,6.9,9,Saturday,April,8,2023-04-08,2023-04-08
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-08 10:00:00,2023-04-08 12:50:00,0 days 02:50:00,8.4,10,Saturday,April,8,2023-04-08,2023-04-08
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-08 10:30:00,2023-04-08 13:20:00,0 days 02:50:00,8.4,10,Saturday,April,8,2023-04-08,2023-04-08
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-08 11:00:00,2023-04-08 14:00:00,0 days 03:00:00,6.9,11,Saturday,April,8,2023-04-08,2023-04-08
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-08 11:30:00,2023-04-08 14:20:00,0 days 02:50:00,6.9,11,Saturday,April,8,2023-04-08,2023-04-08
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-08 12:00:00,2023-04-08 14:50:00,0 days 02:50:00,6.9,12,Saturday,April,8,2023-04-08,2023-04-08
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-08 12:30:00,2023-04-08 15:10:00,0 days 02:40:00,8.4,12,Saturday,April,8,2023-04-08,2023-04-08
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-08 12:45:00,2023-04-08 15:45:00,0 days 03:00:00,6.9,12,Saturday,April,8,2023-04-08,2023-04-08
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-08 13:15:00,2023-04-08 16:15:00,0 days 03:00:00,5.9,13,Saturday,April,8,2023-04-08,2023-04-08
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-08 13:45:00,2023-04-08 16:35:00,0 days 02:50:00,5.9,13,Saturday,April,8,2023-04-08,2023-04-08
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-08 14:15:00,2023-04-08 17:05:00,0 days 02:50:00,5.9,14,Saturday,April,8,2023-04-08,2023-04-08
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-08 14:45:00,2023-04-08 17:35:00,0 days 02:50:00,5.9,14,Saturday,April,8,2023-04-08,2023-04-08
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-08 15:45:00,2023-04-08 18:35:00,0 days 02:50:00,5.9,15,Saturday,April,8,2023-04-08,2023-04-08
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-08 16:15:00,2023-04-08 19:05:00,0 days 02:50:00,5.9,16,Saturday,April,8,2023-04-08,2023-04-08
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-08 16:45:00,2023-04-08 19:35:00,0 days 02:50:00,5.9,16,Saturday,April,8,2023-04-08,2023-04-08
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-08 17:45:00,2023-04-08 20:50:00,0 days 03:05:00,5.9,17,Saturday,April,8,2023-04-08,2023-04-08
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-08 18:30:00,2023-04-08 21:20:00,0 days 02:50:00,6.9,18,Saturday,April,8,2023-04-08,2023-04-08
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-08 19:00:00,2023-04-08 21:50:00,0 days 02:50:00,6.9,19,Saturday,April,8,2023-04-08,2023-04-08
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-08 20:00:00,2023-04-08 22:45:00,0 days 02:45:00,5.9,20,Saturday,April,8,2023-04-08,2023-04-08
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-08 20:30:00,2023-04-08 23:10:00,0 days 02:40:00,5.9,20,Saturday,April,8,2023-04-08,2023-04-08
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-08 21:15:00,2023-04-08 23:50:00,0 days 02:35:00,6.9,21,Saturday,April,8,2023-04-08,2023-04-08
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-09 00:55:00,2023-04-09 04:45:00,0 days 03:50:00,30.0,0,Sunday,April,9,2023-04-09,2023-04-09
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-09 03:05:00,2023-04-09 06:20:00,0 days 03:15:00,30.0,3,Sunday,April,9,2023-04-09,2023-04-09
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-09 04:05:00,2023-04-09 07:20:00,0 days 03:15:00,8.4,4,Sunday,April,9,2023-04-09,2023-04-09
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-09 04:15:00,2023-04-09 06:50:00,0 days 02:35:00,8.4,4,Sunday,April,9,2023-04-09,2023-04-09
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-09 05:15:00,2023-04-09 07:50:00,0 days 02:35:00,4.9,5,Sunday,April,9,2023-04-09,2023-04-09
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-09 06:00:00,2023-04-09 08:40:00,0 days 02:40:00,5.9,6,Sunday,April,9,2023-04-09,2023-04-09
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-09 06:20:00,2023-04-09 09:50:00,0 days 03:30:00,8.4,6,Sunday,April,9,2023-04-09,2023-04-09
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-09 06:30:00,2023-04-09 09:10:00,0 days 02:40:00,5.9,6,Sunday,April,9,2023-04-09,2023-04-09
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-09 07:00:00,2023-04-09 09:40:00,0 days 02:40:00,5.9,7,Sunday,April,9,2023-04-09,2023-04-09
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-09 07:30:00,2023-04-09 10:15:00,0 days 02:45:00,6.9,7,Sunday,April,9,2023-04-09,2023-04-09
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-09 08:00:00,2023-04-09 10:45:00,0 days 02:45:00,6.9,8,Sunday,April,9,2023-04-09,2023-04-09
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-09 08:30:00,2023-04-09 11:15:00,0 days 02:45:00,6.9,8,Sunday,April,9,2023-04-09,2023-04-09
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-09 09:30:00,2023-04-09 12:20:00,0 days 02:50:00,8.4,9,Sunday,April,9,2023-04-09,2023-04-09
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-09 10:00:00,2023-04-09 12:50:00,0 days 02:50:00,6.9,10,Sunday,April,9,2023-04-09,2023-04-09
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-09 10:30:00,2023-04-09 13:20:00,0 days 02:50:00,6.9,10,Sunday,April,9,2023-04-09,2023-04-09
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-09 11:30:00,2023-04-09 14:20:00,0 days 02:50:00,6.9,11,Sunday,April,9,2023-04-09,2023-04-09
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-09 12:00:00,2023-04-09 14:50:00,0 days 02:50:00,6.9,12,Sunday,April,9,2023-04-09,2023-04-09
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-09 12:30:00,2023-04-09 15:10:00,0 days 02:40:00,8.4,12,Sunday,April,9,2023-04-09,2023-04-09
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-09 13:15:00,2023-04-09 16:15:00,0 days 03:00:00,5.9,13,Sunday,April,9,2023-04-09,2023-04-09
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-09 13:45:00,2023-04-09 16:35:00,0 days 02:50:00,5.9,13,Sunday,April,9,2023-04-09,2023-04-09
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-09 14:15:00,2023-04-09 17:05:00,0 days 02:50:00,5.9,14,Sunday,April,9,2023-04-09,2023-04-09
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-09 14:45:00,2023-04-09 17:35:00,0 days 02:50:00,5.9,14,Sunday,April,9,2023-04-09,2023-04-09
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-09 15:15:00,2023-04-09 18:10:00,0 days 02:55:00,6.9,15,Sunday,April,9,2023-04-09,2023-04-09
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-09 15:45:00,2023-04-09 18:35:00,0 days 02:50:00,5.9,15,Sunday,April,9,2023-04-09,2023-04-09
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-09 16:15:00,2023-04-09 19:05:00,0 days 02:50:00,6.9,16,Sunday,April,9,2023-04-09,2023-04-09
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-09 16:45:00,2023-04-09 19:35:00,0 days 02:50:00,5.9,16,Sunday,April,9,2023-04-09,2023-04-09
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-09 17:15:00,2023-04-09 20:15:00,0 days 03:00:00,8.4,17,Sunday,April,9,2023-04-09,2023-04-09
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-09 17:45:00,2023-04-09 20:50:00,0 days 03:05:00,6.9,17,Sunday,April,9,2023-04-09,2023-04-09
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-09 18:30:00,2023-04-09 21:20:00,0 days 02:50:00,8.4,18,Sunday,April,9,2023-04-09,2023-04-09
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-09 19:00:00,2023-04-09 21:50:00,0 days 02:50:00,6.9,19,Sunday,April,9,2023-04-09,2023-04-09
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-09 19:30:00,2023-04-09 22:10:00,0 days 02:40:00,6.9,19,Sunday,April,9,2023-04-09,2023-04-09
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-09 20:00:00,2023-04-09 22:45:00,0 days 02:45:00,6.9,20,Sunday,April,9,2023-04-09,2023-04-09
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-09 20:30:00,2023-04-09 23:10:00,0 days 02:40:00,5.9,20,Sunday,April,9,2023-04-09,2023-04-09
Bristol Bus And Coach Station,London Victoria Coach Station,2023-04-09 21:15:00,2023-04-09 23:50:00,0 days 02:35:00,5.9,21,Sunday,April,9,2023-04-09,2023-04-09
